competitor,product,brand,type,in_stock_flavours,flavours_in_stock,other_variants_in_stock,price_from,listings,example_listing,competitor_url,more_urls,closest_vos_product,closest_vos_score
vapeshop.co.uk,Vapemate Nic Salt 10Ml,vapemate,nicsalt,5,blue slush blast; fresh raspberry; lemon lime; menthol mist; sweet grape,"strength: 10mg, 20mg",2.99,5,Blue Slush Blast Vapemate Nic Salt - 10ml,https://vapeshop.co.uk/products/blue-slush-blast-vapemate-nic-salt-10ml,https://vapeshop.co.uk/products/lemon-n-lime-vapemate-nic-salt-10ml https://vapeshop.co.uk/products/sweet-grape-vapemate-nic-salt-10ml https://vapeshop.co.uk/products/menthol-mist-vapemate-nic-salt-10ml,,
vapeshop.co.uk,Nic Salt By Zorva,zorva,nicsalt,2,mix berry; rainbow burst,strength: 10mg,0.99,2,Rainbow Burst Nic Salt by Zorva,https://vapeshop.co.uk/products/rainbow-burst-nic-salt-by-zorva,https://vapeshop.co.uk/products/mixed-berries-nic-salt-by-zorva,,
vapeshop.co.uk,aquavape nic juice nic shot,aquavape,nicshot,0,,,1.49,1,Aquavape Nic Juice Nic Shot,https://vapeshop.co.uk/products/aquavape-nic-juice-nic-shot,,,
vapeshop.co.uk,drifter bar salts nic shot 10ml,drifter,nicshot,0,,strength: 20mg,1.19,1,Drifter Bar Salts Nic Shot 10ml,https://vapeshop.co.uk/products/drifter-bar-salts-nic-shot-10ml,,,
vapeshop.co.uk,shorty nics ice nic shot - 10ml,shorty nics,nicshot,0,,,1.49,1,Shorty Nics Ice Nic Shot - 10ml,https://vapeshop.co.uk/products/shorty-nics-ice-nic-shot-10ml,,,
vapeshop.co.uk,shorty nics nic shot - 10ml,shorty nics,nicshot,0,,"strength: 18mg, 9mg",1.49,1,Shorty Nics Nic Shot - 10ml,https://vapeshop.co.uk/products/shorty-nics-nic-shot-9mg,,,
vapeshop.co.uk,vapemate classic nic shot 18mg 10ml,vapemate,nicshot,0,,,1.49,1,Vapemate Classic Nic Shot 18mg 10ml,https://vapeshop.co.uk/products/vapemate-classic-nic-shot-18mg-10ml,,,
vapeshop.co.uk,wizmaxx max vg nic shot - 10ml,wizmaxx,nicshot,0,,strength: 18mg medium high,1.49,1,WizMAXX MAX VG Nic Shot - 10ml,https://vapeshop.co.uk/products/wizmix-unflavoured-maxvg-10ml,,,
vapeshop.co.uk,wizmix 50/50 pg/vg nic shot - 10ml,wizmix,nicshot,0,,strength: 18mg medium high,1.49,1,WizMix 50/50 PG/VG Nic Shot - 10ml,https://vapeshop.co.uk/products/wizmix-unflavoured-nic-shot-eliquid-10ml,,,
vapeshop.co.uk,Aquavape 2In1 Pods,aquavape,pods,11,blue raspberry; blue raspberry lemonade; cherry; cherry fizz; kiwi passion; mint; pineapple; pineapple mango; raspberry; strawberry; strawberry raspberry,strength: 20mg,1.99,11,Pineapple Mango Aquavape 2in1 Pods,https://vapeshop.co.uk/products/pineapple-mango-aquavape-2in1-pods,https://vapeshop.co.uk/products/cherry-aquavape-2in1-pods https://vapeshop.co.uk/products/strawberry-raspberry-aquavape-2in1-pods https://vapeshop.co.uk/products/pineapple-aquavape-2in1-pods,,
vapeshop.co.uk,aquavape innokin endura vcap pods,aquavape,pods,0,,resistance: 0.8ohms,8.99,1,Aquavape Innokin Endura VCAP Pods,https://vapeshop.co.uk/products/aquavape-innokin-endura-vcap-pods,,,
vapeshop.co.uk,aspire bp80 replacement 2ml pod (pack of 1),aspire,pods,0,,,1.99,1,Aspire BP80 Replacement 2ml Pod (Pack of 1),https://vapeshop.co.uk/products/aspire-bp80-replacement-pod-pack-of-1,,aspire bp stik replacement pods pack of 1,0.2
vapeshop.co.uk,aspire veynom air pod,aspire,pods,0,,,2.99,1,Aspire Veynom Air Pod,https://vapeshop.co.uk/products/aspire-veynom-air-pod,,,
vapeshop.co.uk,Avomi Fliq 4In1 Pods,avomi,pods,4,grape ice; kiwi passion fruit guava; lemon tangerine ice; watermelon ice,strength: 20mg,4.95,4,Watermelon Ice Avomi Fliq 4in1 Pods,https://vapeshop.co.uk/products/watermelon-ice-avomi-fliq-4in1-pods,https://vapeshop.co.uk/products/lemon-tangerine-ice-avomi-fliq-4in1-pods https://vapeshop.co.uk/products/kiwi-passionfruit-guava-avomi-fliq-4in1-pods https://vapeshop.co.uk/products/grape-ice-avomi-fliq-4in1-pods,,
vapeshop.co.uk,eleaf ep replacement pod,eleaf,pods,0,,,2.99,1,Eleaf EP Replacement Pod,https://vapeshop.co.uk/products/eleaf-ep-replacement-pod,,,
vapeshop.co.uk,geekvape aegis hero 5 pod,geekvape,pods,0,,"colour: black, white",2.99,1,Geekvape Aegis Hero 5 Pod,https://vapeshop.co.uk/products/geekvape-aegis-hero-5-pod,,geekvape aegis hero replacement pod,0.4
vapeshop.co.uk,B Gum Hayati Mini Ultra Refill Pods,hayati,pods,1,straw watermelon,strength: 20mg,2.99,1,Straw' Watermelon B' Gum Hayati Mini Ultra Refill Pack,https://vapeshop.co.uk/products/straw-watermelon-b-gum-hayati-mini-ultra-refill-pack,,B Gum Hayati Pro Ultra Plus 25000 Prefilled Pods,0.37
vapeshop.co.uk,B Gum Hayati Pro Max Plus Refill Pods,hayati,pods,1,blueberry,strength: 20mg,6.99,1,Blueberry B'Gum Hayati Pro Max+ Refill Pack,https://vapeshop.co.uk/products/blueberry-bgum-hayati-pro-max-refill-pack,,B Gum Hayati Pro Ultra Plus 25000 Prefilled Pods,0.5
vapeshop.co.uk,hayati quokka pods,hayati,pods,0,,resistance: 1.2ohm,5.99,1,Hayati Quokka Pods,https://vapeshop.co.uk/products/hayati-quokka-pods,,hayati quokka replacement pods – 0.6ω/0.8ω/1.2ω side-fill,0.5
vapeshop.co.uk,icon aquavape british tobacco pods (pack of 3),icon vape,pods,0,,"strength: 10mg, 20mg",5.99,1,ICON Aquavape British Tobacco Pods (Pack of 3),https://vapeshop.co.uk/products/icon-aqua-vape-british-tobacco-pods-pack-of-3,,,
vapeshop.co.uk,icon vape fresh menthol pods (pack of 3),icon vape,pods,0,,"strength: 10mg, 20mg",5.99,1,ICON Vape Fresh Menthol Pods (Pack of 3),https://vapeshop.co.uk/products/icon-vape-fresh-menthol-pods-pack-of-3,,,
vapeshop.co.uk,icon vape menthol pods (pack of 3),icon vape,pods,0,,"strength: 10mg, 20mg",5.99,1,ICON Vape Menthol Pods (Pack of 3),https://vapeshop.co.uk/products/icon-vape-menthol-pods-pack-of-3,,,
vapeshop.co.uk,icon vape tobacco pods (pack of 3),icon vape,pods,0,,"strength: 10mg, 20mg",5.99,1,ICON Vape Tobacco Pods (Pack of 3),https://vapeshop.co.uk/products/icon-vape-tobacco-pods-pack-of-3,,,
